NGC 4372	186.439101	-72.659084	300.993	-9.884	5.71	0.21	7.22	0.04	75.59	0.30	-6.409	0.004	3.309	0.005	0.18	5.28	0.11	-4.82	0.18	-0.98	0.04	100.02	0.18	84.28	0.26	64.83	0.13	2.88	0.10	7.26	0.03
Rup 106	189.667500	-51.150278	300.888	11.671	20.71	0.36	18.04	0.32	-38.36	0.26	-1.253	0.008	0.401	0.008	0.45	-2.23	0.18	-17.41	0.30	4.19	0.07	118.81	0.71	226.10	0.49	31.88	0.73	4.63	0.13	34.70	0.76
NGC 4590	189.866577	-26.744057	299.626	36.051	10.40	0.10	10.35	0.07	-93.11	0.18	-2.732	0.005	1.764	0.005	-0.15	4.02	0.04	-7.31	0.07	6.12	0.06	170.43	0.24	289.18	0.21	16.43	0.21	8.88	0.06	29.37	0.41
BH 140	193.472915	-67.177276	303.171	-4.307	4.81	0.25	6.86	0.01	90.30	0.35	-14.901	0.069	1.258	0.073	0.17	5.55	0.13	-4.01	0.21	-0.36	0.02	222.36	1.33	-10.80	0.91	32.29	1.66	2.01	0.11	10.00	0.57
NGC 4833	194.891342	-70.876503	303.604	-8.015	6.48	0.08	7.13	0.02	201.99	0.40	-8.390	0.006	-0.968	0.006	0.19	4.63	0.05	-5.34	0.07	-0.90	0.01	95.21	0.27	-54.95	0.34	-42.21	0.19	0.85	0.03	7.62	0.08
NGC 5024	198.230209	18.168165	332.963	79.764	18.50	0.18	19.00	0.16	-63.37	0.25	-0.131	0.005	-1.332	0.005	-0.34	5.25	0.03	-1.49	0.01	18.20	0.18	-57.27	0.41	155.76	0.41	-72.49	0.26	9.28	0.03	22.64	0.17
NGC 5053	199.112885	17.700251	335.699	78.946	17.54	0.23	18.01	0.20	42.82	0.25	-0.338	0.007	-1.214	0.007	-0.34	5.11	0.04	-1.38	0.02	17.21	0.23	-52.79	0.58	150.82	0.58	35.30	0.27	10.79	0.05	17.84	0.20
NGC 5139	201.696991	-47.479473	309.102	14.968	5.43	0.05	6.50	0.01	232.78	0.21	-3.236	0.011	-6.731	0.011	-0.12	4.87	0.03	-4.07	0.04	1.40	0.01	-95.98	0.25	-21.69	0.24	-86.82	0.27	1.47	0.04	6.95	0.03
NGC 5272	205.548416	28.377277	42.217	78.707	10.18	0.08	12.09	0.06	-147.20	0.27	-0.153	0.007	-2.679	0.007	0.14	6.70	0.01	1.34	0.01	9.98	0.08	-65.30	0.32	127.78	0.32	-134.17	0.27	5.28	0.02	15.80	0.10
NGC 5286	206.611710	-51.374249	311.614	10.568	11.10	0.14	8.46	0.09	62.38	0.40	0.187	0.007	-0.160	0.007	0.08	0.93	0.09	-8.16	0.11	2.03	0.03	-58.91	0.39	210.15	0.39	8.54	0.37	0.93	0.05	12.78	0.16
