NGC 6553	272.31532	-25.90775	-0.19	-0.27	0.34	5.33	2.83	28.5	0.494	17
NGC 6558	272.57397	-31.76451	-0.99	-195.12	0.73	7.47	1.08	2.65	0.073	6
Terzan 12	273.06583	-22.74194	-0.56	95.61	1.21	5.17	3.17	8.7	0.312	6
NGC 6569	273.41167	-31.82689	-0.92	-49.83	0.50	10.53	2.59	23.6	0.226	14
NGC 6642	277.97596	-23.47560	-1.09	-60.61	1.35	8.05	1.66	3.4	0.110	12
NGC 6656	279.09976	-23.90475	-1.70	-148.72	0.78	3.30	5.00	47.6	1.308	412
NGC 6715	283.76385	-30.47986	-0.62	143.13	0.43	26.28	18.51	178.0	0.618	1809
NGC 6717	283.77518	-22.70147	-1.12	30.25	0.90	7.52	2.38	3.6	0.151	5
NGC 6723	284.88812	-36.63225	-1.02	-94.39	0.26	8.27	2.47	17.7	0.258	9
NGC 6752	287.71710	-59.98455	-1.47	-26.01	0.12	4.12	5.30	27.6	0.913	152
NGC 6760	287.80027	1.03047	-0.75	-2.37	1.27	8.41	5.17	26.9	0.488	11
Palomar 10	289.50693	18.57899	0.02	-31.70	0.23	8.94	7.60	16.2	0.431	3
NGC 6809	294.99878	-30.96475	-1.76	174.70	0.17	5.35	4.01	19.3	0.549	98
NGC 6838	298.44373	18.77919	-0.75	-22.72	0.20	4.00	6.86	4.6	0.619	129
NGC 7078	322.49304	12.16700	-2.29	-106.84	0.30	10.71	10.76	63.3	0.757	155
NGC 7089	323.36258	-0.82325	-1.47	-3.78	0.30	11.69	10.54	62.7	0.548	36
